symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20150120,00:00:00,3331.8695,3478.5217,3325.7833,3427.5304,2048219.0
IF99,,IF99,20150121,00:00:00,3437.0183,3610.8565,3436.9898,3579.1313,1710330.0
IF99,,IF99,20150122,00:00:00,3590.5165,3624.4806,3556.2371,3592.1549,1368861.0
IF99,,IF99,20150123,00:00:00,3612.7729,3681.2675,3585.4162,3629.6656,1665037.0
IF99,,IF99,20150126,00:00:00,3637.0865,3664.3879,3602.7318,3655.756,1210104.0
IF99,,IF99,20150127,00:00:00,3668.4477,3672.577,3536.2894,3603.1686,1515865.0
IF99,,IF99,20150128,00:00:00,3596.7365,3631.0147,3539.6901,3552.1063,1555853.0
IF99,,IF99,20150129,00:00:00,3496.9886,3543.0635,3477.9575,3517.3231,1407556.0
IF99,,IF99,20150130,00:00:00,3524.6761,3558.5681,3442.2052,3451.0847,1589453.0
IF99,,IF99,20150202,00:00:00,3396.3412,3445.7336,3370.0176,3414.1485,1267068.0
IF99,,IF99,20150203,00:00:00,3419.6693,3489.4649,3401.627,3480.4208,1406441.0
IF99,,IF99,20150204,00:00:00,3500.2128,3534.6793,3408.0448,3416.7488,1421554.0
IF99,,IF99,20150205,00:00:00,3518.6929,3564.6308,3369.8325,3380.4309999999996,1808881.0
IF99,,IF99,20150206,00:00:00,3383.4417,3418.0311,3314.4792,3373.1814,1533764.0
IF99,,IF99,20150209,00:00:00,3357.4832,3432.3012,3345.6672,3410.7426,1483136.0
IF99,,IF99,20150210,00:00:00,3413.4323,3476.3826,3390.6214,3474.9549,1545688.0
